Player,Strike Rate,Average Score,Batsman Match Count,Batsman Run,Six,Four,Out,One,Two,Three,Five,Fifty,Hundred,Wicket,Bowler Run,Economy Rate,Maiden,Bowler Match Count,Average Four,Average Six,Total Matches,Wicket Average,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,player_type,bowler_utility
AM Rahane,117.48654880860876,29.114285714285717,105.0,3057.0,60.0,320.0,91.0,1039.0,168.0,14.0,0.0,25.0,1.0,1.0,5.0,5.0,0.0,1.0,3.0476190476190474,0.5714285714285714,105.0,0.009523809523809523,8.167857142857144,1.874327440430438,0.0,0.6825396825396824,0.009523809523809523,0.01935483870967742,3.7799999999999994,10.724724265827264,Batsman,5.71331797235023
YK Pathan,140.75144508670522,21.969924812030076,133.0,2922.0,149.0,240.0,98.0,781.0,136.0,5.0,0.0,14.0,1.0,41.0,1421.0,7.312178387650086,0.0,80.0,1.8045112781954888,1.1203007518796992,133.0,0.3082706766917293,5.488721804511279,3.037572254335261,0.06015037593984962,0.26817042606516295,0.3082706766917293,0.7935483870967742,3.2944425385934815,8.854614860851553,AllRounder,6.594392403572978
KD Karthik,123.00847457627115,21.66417910447761,134.0,2903.0,71.0,286.0,117.0,964.0,168.0,6.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1343283582089554,0.5298507462686567,134.0,0.0,5.374067164179104,2.150423728813558,0.0,0.37810945273631846,0.0,0.0,0.0,7.902600345728981,Batsman,0.0
BB McCullum,126.31820265933058,26.74757281553398,103.0,2755.0,124.0,277.0,98.0,690.0,102.0,3.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.6893203883495147,1.2038834951456308,103.0,0.0,7.2803398058252435,2.315910132966529,0.10194174757281538,0.5631067961165049,0.0,0.0,0.0,10.261298482481093,Batsman,0.0
V Sehwag,148.82705946535734,26.23076923076923,104.0,2728.0,106.0,334.0,99.0,558.0,96.0,2.0,0.0,16.0,2.0,6.0,236.0,10.26086956521739,0.0,15.0,3.2115384615384617,1.0192307692307692,104.0,0.0576923076923077,7.086538461538462,3.441352973267867,0.009615384615384581,0.7371794871794872,0.0576923076923077,0.11612903225806452,2.6752173913043475,11.2746863066012,Batsman,4.27355809688208
SR Watson,134.83837865572087,26.816326530612244,98.0,2628.0,122.0,258.0,85.0,638.0,101.0,8.0,0.0,14.0,2.0,86.0,2490.0,7.6185619581846,0.0,94.0,2.6326530612244903,1.2448979591836735,98.0,0.8775510204081632,7.3061224489795915,2.7419189327860436,0.12244897959183676,0.5442176870748301,0.8775510204081632,1.664516129032258,3.2301019887812337,10.714708048432303,AllRounder,8.65825370733248
Yuvraj Singh,126.39024390243902,22.33620689655172,116.0,2591.0,141.0,205.0,101.0,690.0,113.0,3.0,0.0,12.0,0.0,36.0,1068.0,7.373993095512082,0.0,71.0,1.7672413793103448,1.2155172413793105,116.0,0.3103448275862069,5.626077586206895,2.319512195121951,0.10775862068965525,0.2557471264367816,0.3103448275862069,0.6967741935483871,3.2814614499424626,8.309095528455284,AllRounder,6.432870706615584
M Vijay,120.02868068833652,25.363636363636363,99.0,2511.0,89.0,237.0,95.0,663.0,155.0,17.0,1.0,13.0,2.0,0.0,49.0,7.945945945945946,0.0,4.0,2.393939393939394,0.898989898989899,99.0,0.0,6.761363636363637,2.001434034416826,0.0,0.4646464646464647,0.0,0.0,3.1613513513513514,9.227444135426929,Batsman,4.742027027027027
SE Marsh,130.1097752221641,36.072463768115945,69.0,2489.0,78.0,269.0,63.0,724.0,99.0,6.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3.898550724637681,1.1304347826086956,69.0,0.0,10.77717391304348,2.505488761108205,0.06521739130434778,0.966183574879227,0.0,0.0,0.0,14.314063640335261,Batsman,0.0
JH Kallis,105.93627237014404,25.547368421052628,95.0,2427.0,44.0,255.0,85.0,888.0,113.0,8.0,1.0,17.0,0.0,65.0,2348.0,7.831017231795442,0.0,89.0,2.6842105263157894,0.4631578947368421,95.0,0.6842105263157895,6.830263157894736,1.296813618507202,0.0,0.5614035087719298,0.6842105263157895,1.2580645161290323,3.185486381322957,8.688480285173867,AllRounder,7.6916421356516675
AT Rayudu,123.01425661914459,23.009523809523806,105.0,2416.0,79.0,205.0,89.0,853.0,133.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9523809523809523,0.7523809523809524,105.0,0.0,5.878571428571427,2.1507128309572296,0.0,0.31746031746031744,0.0,0.0,0.0,8.346744576988975,Batsman,0.0
DR Smith,132.27953410981698,27.10227272727273,88.0,2385.0,117.0,245.0,84.0,521.0,84.0,3.0,1.0,17.0,0.0,26.0,825.0,8.88689407540395,0.0,46.0,2.784090909090909,1.3295454545454546,88.0,0.2954545454545455,7.413352272727274,2.613976705490849,0.1647727272727273,0.5946969696969697,0.2954545454545455,0.503225806451613,2.9637522441651702,10.786798675187818,Batsman,5.6436488941069936
KA Pollard,140.62126642771804,21.017857142857142,112.0,2354.0,148.0,158.0,82.0,599.0,110.0,5.0,0.0,12.0,0.0,56.0,1785.0,8.393416927899686,0.0,81.0,1.4107142857142858,1.3214285714285714,112.0,0.5,5.131696428571429,3.031063321385902,0.1607142857142857,0.13690476190476195,0.5,1.0838709677419356,3.067382445141065,8.46037879757638,AllRounder,6.976880119324502
SR Tendulkar,114.18786692759295,29.923076923076927,78.0,2334.0,29.0,296.0,69.0,721.0,117.0,7.0,0.0,13.0,1.0,0.0,59.0,9.567567567567568,0.0,4.0,3.7948717948717943,0.3717948717948718,78.0,0.0,8.471153846153847,1.7093933463796476,0.0,0.9316239316239314,0.0,0.0,2.8208108108108108,11.112171124157426,Batsman,4.231216216216216
PA Patel,112.71844660194176,20.01724137931034,116.0,2322.0,35.0,297.0,107.0,677.0,109.0,8.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5603448275862073,0.3017241379310345,116.0,0.0,4.756465517241378,1.6359223300970882,0.0,0.5201149425287358,0.0,0.0,0.0,6.912502789867202,Batsman,0.0
MK Pandey,116.93845344555498,23.4,95.0,2223.0,65.0,197.0,78.0,772.0,121.0,7.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.073684210526316,0.6842105263157895,95.0,0.0,6.0249999999999995,1.8469226722777492,0.0,0.3578947368421053,0.0,0.0,0.0,8.229817409119853,Batsman,0.0
R Dravid,113.34723670490095,26.51219512195122,82.0,2174.0,28.0,269.0,77.0,681.0,118.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2804878048780486,0.3414634146341464,82.0,0.0,7.192073170731708,1.6673618352450474,0.0,0.7601626016260162,0.0,0.0,0.0,9.61959760760277,Batsman,0.0
AC Gilchrist,133.05466237942122,25.8625,80.0,2069.0,92.0,239.0,76.0,417.0,66.0,4.0,0.0,11.0,2.0,1.0,0.0,0.0,1.0,1.0,2.9875,1.15,80.0,0.0125,6.948437500000001,2.652733118971061,0.07499999999999996,0.6625,0.0125,0.01935483870967742,0.0,10.33867061897106,Batsman,0.04778225806451614
JP Duminy,121.97062423500613,27.301369863013697,73.0,1993.0,78.0,123.0,50.0,769.0,123.0,6.0,0.0,14.0,0.0,23.0,811.0,7.124450951683746,0.0,47.0,1.6849315068493151,1.0684931506849316,73.0,0.3150684931506849,7.488013698630136,2.0985312117503065,0.03424657534246578,0.22831050228310504,0.3150684931506849,0.44516129032258067,3.333865300146413,9.849101988006014,AllRounder,6.141142625429518
MEK Hussey,119.96359223300972,34.086206896551715,58.0,1977.0,52.0,198.0,51.0,648.0,96.0,11.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4137931034482767,0.8965517241379308,58.0,0.0,10.032327586206893,1.998179611650486,0.0,0.8045977011494255,0.0,0.0,0.0,12.835104899006804,Batsman,0.0
DPMD Jayawardene,118.7910643889619,23.179487179487182,78.0,1808.0,40.0,200.0,64.0,565.0,93.0,4.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5641025641025643,0.5128205128205128,78.0,0.0,5.942307692307693,1.939553219448095,0.0,0.5213675213675214,0.0,0.0,0.0,8.40322843312331,Batsman,0.0
RA Jadeja,118.79286694101508,16.037037037037038,108.0,1732.0,57.0,125.0,72.0,625.0,125.0,5.0,0.0,0.0,0.0,82.0,2540.0,7.767584097859326,0.0,112.0,1.1574074074074074,0.5277777777777778,112.0,0.7321428571428571,3.2638888888888893,1.939643347050754,0.0,0.05246913580246915,0.7321428571428571,1.5870967741935484,3.198807339449541,5.256001371742112,Bowler,8.27707045617892
SPD Smith,128.50712678169543,27.62903225806452,62.0,1713.0,45.0,151.0,46.0,592.0,116.0,5.0,0.0,5.0,1.0,0.0,5.0,15.0,0.0,1.0,2.4354838709677415,0.7258064516129032,62.0,0.0,7.610887096774195,2.4253563390847717,0.0,0.47849462365591383,0.0,0.0,1.68,10.514738059514881,Batsman,2.52
KC Sangakkara,118.46910112359551,24.808823529411764,68.0,1687.0,27.0,195.0,65.0,563.0,81.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.867647058823529,0.3970588235294117,68.0,0.0,6.553308823529412,1.9234550561797754,0.0,0.622549019607843,0.0,0.0,0.0,9.099312899317031,Batsman,0.0
MK Tiwary,114.12742382271469,20.860759493670887,79.0,1648.0,39.0,152.0,56.0,615.0,75.0,7.0,4.0,7.0,0.0,1.0,73.0,11.526315789473687,0.0,5.0,1.9240506329113924,0.4936708860759494,79.0,0.012658227848101266,5.072784810126583,1.7063711911357344,0.0,0.3080168776371308,0.012658227848101266,0.01935483870967742,2.4094736842105258,7.087172878899448,Batsman,3.662230126152457
AJ Finch,126.2992125984252,25.0625,64.0,1604.0,59.0,170.0,59.0,407.0,77.0,3.0,0.0,13.0,0.0,1.0,67.0,9.136363636363637,0.0,5.0,2.65625,0.921875,64.0,0.015625,6.6484375,2.31496062992126,0.0,0.5520833333333334,0.015625,0.01935483870967742,2.911363636363636,9.515481463254593,Batsman,4.419515212609971
DA Miller,137.7092511013216,24.421875,64.0,1563.0,78.0,104.0,45.0,464.0,106.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.625,1.21875,64.0,0.0,6.408203125,2.8854625550660797,0.109375,0.20833333333333334,0.0,0.0,0.0,9.611374013399415,Batsman,0.0
WP Saha,127.72764561115669,19.96153846153846,78.0,1557.0,57.0,130.0,61.0,472.0,107.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.7307692307692307,78.0,0.0,4.7355769230769225,2.3863822805578345,0.0,0.22222222222222224,0.0,0.0,0.0,7.34418142585698,Batsman,0.0
NV Ojha,114.52802359882006,16.698924731182796,93.0,1553.0,79.0,121.0,74.0,437.0,64.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3010752688172045,0.8494623655913979,93.0,0.0,3.5120967741935485,1.7264011799410028,0.0,0.10035842293906816,0.0,0.0,0.0,5.33885637707362,Batsman,0.0
S Badrinath,115.7429718875502,22.169230769230772,65.0,1441.0,28.0,154.0,47.0,484.0,85.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3692307692307693,0.4307692307692308,65.0,0.0,5.56346153846154,1.7871485943775098,0.0,0.4564102564102564,0.0,0.0,0.0,7.807020389249306,Batsman,0.0
SV Samson,122.40343347639484,23.0,62.0,1426.0,57.0,112.0,56.0,456.0,81.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8064516129032255,0.9193548387096774,62.0,0.0,5.875,2.120171673819742,0.0,0.2688172043010752,0.0,0.0,0.0,8.263988878120818,Batsman,0.0
BJ Hodge,121.42237640936686,22.222222222222218,63.0,1400.0,43.0,122.0,42.0,452.0,89.0,8.0,0.0,6.0,0.0,17.0,310.0,7.815126050420169,0.0,20.0,1.9365079365079363,0.6825396825396826,63.0,0.2698412698412698,5.583333333333332,2.0711188204683433,0.0,0.3121693121693121,0.2698412698412698,0.32903225806451614,3.1888235294117644,7.966621465970988,Batsman,5.681545585976325
SC Ganguly,101.73453996983407,24.089285714285715,56.0,1349.0,42.0,137.0,53.0,427.0,54.0,3.0,1.0,7.0,0.0,10.0,370.0,7.928571428571429,0.0,20.0,2.446428571428572,0.75,56.0,0.17857142857142858,6.283482142857143,1.0867269984917036,0.0,0.4821428571428574,0.17857142857142858,0.19354838709677422,3.1649999999999996,7.852351998491704,Batsman,5.305679723502303
DJ Hussey,120.07266121707536,21.672131147540984,61.0,1322.0,60.0,90.0,49.0,452.0,72.0,2.0,0.0,5.0,0.0,8.0,485.0,9.009287925696594,0.0,26.0,1.475409836065574,0.9836065573770492,61.0,0.13114754098360654,5.3770491803278695,2.003633060853768,0.0,0.15846994535519135,0.13114754098360654,0.15483870967741936,2.938049535603715,7.539152186536829,Batsman,4.836053679397112
F du Plessis,124.16107382550337,28.15217391304348,46.0,1295.0,38.0,110.0,43.0,453.0,75.0,8.0,0.0,8.0,0.0,0.0,16.0,16.0,0.0,1.0,2.391304347826087,0.8260869565217391,46.0,0.0,7.8070652173913055,2.2080536912751683,0.0,0.463768115942029,0.0,0.0,1.47,10.478887024608502,Batsman,2.205
SS Tiwary,114.85148514851484,19.9375,64.0,1276.0,45.0,93.0,45.0,464.0,82.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.453125,0.703125,64.0,0.0,4.7265625,1.742574257425742,0.0,0.15104166666666666,0.0,0.0,0.0,6.620178424092409,Batsman,0.0
DJ Bravo,122.28682170542636,15.580246913580249,81.0,1262.0,48.0,102.0,55.0,365.0,93.0,5.0,0.0,4.0,0.0,122.0,2815.0,8.004739336492891,0.0,103.0,1.2592592592592593,0.5925925925925926,103.0,1.1844660194174756,3.0925925925925934,2.114341085271318,0.0,0.08641975308641976,1.1844660194174756,2.361290322580645,3.1490047393364926,5.293353430950332,Bowler,10.042141622001921
GJ Maxwell,157.56410256410254,22.345454545454544,55.0,1229.0,82.0,96.0,49.0,241.0,56.0,0.0,0.0,6.0,0.0,11.0,483.0,8.676646706586826,0.0,33.0,1.7454545454545454,1.490909090909091,55.0,0.2,5.629545454545454,3.878205128205127,0.24545454545454548,0.24848484848484845,0.2,0.21290322580645163,3.0079041916167664,10.001689976689976,Batsman,5.131211126134827
KK Nair,124.65016146393972,23.16,50.0,1158.0,26.0,135.0,46.0,313.0,66.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.52,50.0,0.0,5.9350000000000005,2.2325080731969864,0.0,0.5666666666666668,0.0,0.0,0.0,8.734174739863654,Batsman,0.0
TM Dilshan,110.12416427889208,23.06,50.0,1153.0,24.0,140.0,43.0,335.0,54.0,2.0,0.0,9.0,0.0,5.0,368.0,8.02909090909091,0.0,25.0,2.8,0.48,50.0,0.1,5.8975,1.506208213944604,0.0,0.6,0.1,0.09677419354838711,3.1438909090909086,8.003708213944604,Batsman,5.010997653958944
IK Pathan,116.75126903553301,14.024390243902438,82.0,1150.0,38.0,88.0,53.0,407.0,76.0,2.0,1.0,1.0,0.0,80.0,2711.0,7.698059630856601,0.0,101.0,1.0731707317073171,0.4634146341463415,101.0,0.7920792079207921,2.5091463414634143,1.8375634517766506,0.0,0.024390243902439046,0.7920792079207921,1.5483870967741937,3.2134074775201134,4.3711000371425035,Bowler,8.330810673322649
Mandeep Singh,118.5501066098081,19.17241379310345,58.0,1112.0,18.0,134.0,55.0,319.0,69.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3103448275862073,0.3103448275862069,58.0,0.0,4.439655172413794,1.9275053304904048,0.0,0.43678160919540243,0.0,0.0,0.0,6.803942112099601,Batsman,0.0
ML Hayden,131.94278903456495,34.59375,32.0,1107.0,44.0,121.0,31.0,257.0,48.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78125,1.375,32.0,0.0,10.22265625,2.5971394517282476,0.1875,0.9270833333333334,0.0,0.0,0.0,13.934379035061582,Batsman,0.0
LMP Simmons,122.89293849658314,37.206896551724135,29.0,1079.0,44.0,109.0,27.0,269.0,52.0,2.0,0.0,11.0,1.0,1.0,34.0,11.333333333333332,0.0,1.0,3.7586206896551726,1.5172413793103448,29.0,0.03448275862068965,11.202586206896552,2.144646924829157,0.2586206896551724,0.9195402298850576,0.03448275862068965,0.01935483870967742,2.4499999999999997,14.52539405126594,Batsman,3.75575639599555
LRPL Taylor,120.07083825265644,18.83333333333333,54.0,1017.0,46.0,66.0,40.0,334.0,62.0,3.0,2.0,3.0,0.0,0.0,24.0,11.076923076923077,0.0,2.0,1.2222222222222223,0.8518518518518519,54.0,0.0,4.312499999999998,2.003541912632822,0.0,0.07407407407407411,0.0,0.0,2.5038461538461534,6.390115986706895,Batsman,3.7557692307692303
KP Pietersen,132.05804749340368,27.805555555555557,36.0,1001.0,40.0,91.0,28.0,284.0,48.0,4.0,1.0,4.0,1.0,7.0,218.0,7.266666666666667,0.0,13.0,2.5277777777777777,1.1111111111111112,36.0,0.19444444444444445,7.677083333333334,2.602902374670184,0.05555555555555558,0.5092592592592592,0.19444444444444445,0.13548387096774195,3.304,10.844800522818334,Batsman,5.450892473118279
Y Venugopal Rao,113.8728323699422,18.94230769230769,52.0,985.0,37.0,77.0,44.0,341.0,53.0,1.0,1.0,3.0,0.0,6.0,338.0,9.135135135135137,0.0,20.0,1.4807692307692308,0.7115384615384616,52.0,0.1153846153846154,4.353365384615383,1.6936416184971101,0.0,0.16025641025641027,0.1153846153846154,0.11612903225806452,2.911621621621621,6.207263413368904,Batsman,4.714702903896452
