Player,Strike Rate,Average Score,Batsman Match Count,Batsman Run,Six,Four,Out,One,Two,Three,Five,Fifty,Hundred,Wicket,Bowler Run,Economy Rate,Maiden,Bowler Match Count,Average Four,Average Six,Total Matches,Wicket Average
SB Bangar,84.48275862068965,7.0,7.0,49.0,3.0,1.0,7.0,25.0,1.0,0.0,0.0,0.0,0.0,4.0,221.0,8.666666666666666,0.0,9.0,0.14285714285714285,0.42857142857142855,9.0,0.4444444444444444
AG Paunikar,80.32786885245902,9.8,5.0,49.0,0.0,9.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,5.0,0.0
J Suchith,145.45454545454547,9.6,5.0,48.0,2.0,4.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,10.0,369.0,8.75098814229249,0.0,13.0,0.8,0.4,13.0,0.7692307692307693
HV Patel,123.6842105263158,3.9166666666666665,12.0,47.0,3.0,2.0,9.0,15.0,3.0,0.0,0.0,0.0,0.0,34.0,999.0,8.47807637906648,0.0,34.0,0.16666666666666666,0.25,34.0,1.0
Yashpal Singh,70.1492537313433,11.75,4.0,47.0,0.0,5.0,4.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,4.0,0.0
Mohammed Shami,100.0,3.5384615384615383,13.0,46.0,2.0,4.0,7.0,14.0,2.0,0.0,0.0,0.0,0.0,18.0,960.0,8.74051593323217,0.0,31.0,0.3076923076923077,0.15384615384615385,31.0,0.5806451612903226
VR Aaron,82.14285714285714,5.111111111111111,9.0,46.0,2.0,2.0,4.0,18.0,4.0,0.0,0.0,0.0,0.0,38.0,1250.0,8.29646017699115,0.0,40.0,0.2222222222222222,0.2222222222222222,40.0,0.95
CR Woakes,97.87234042553192,6.571428571428571,7.0,46.0,1.0,4.0,4.0,18.0,3.0,0.0,0.0,0.0,0.0,17.0,393.0,8.482014388489208,0.0,13.0,0.5714285714285714,0.14285714285714285,13.0,1.3076923076923077
I Sharma,76.27118644067797,2.6470588235294117,17.0,45.0,1.0,3.0,6.0,21.0,3.0,0.0,0.0,0.0,0.0,58.0,2291.0,8.024518388791593,0.0,76.0,0.17647058823529413,0.058823529411764705,76.0,0.7631578947368421
Sunny Singh,138.70967741935485,8.6,5.0,43.0,1.0,6.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,5.0,0.0
JDS Neesham,91.30434782608695,14.0,3.0,42.0,1.0,3.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,1.0,96.0,10.105263157894736,0.0,4.0,1.0,0.3333333333333333,4.0,0.25
SK Trivedi,68.85245901639344,3.0,14.0,42.0,1.0,3.0,7.0,16.0,4.0,0.0,0.0,0.0,0.0,65.0,1944.0,7.491329479768787,0.0,75.0,0.21428571428571427,0.07142857142857142,75.0,0.8666666666666667
AB Barath,97.67441860465115,14.0,3.0,42.0,1.0,5.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.3333333333333333,3.0,0.0
