,0,1,2
142,SW Billings,9.317366730892743,Batsman
143,MR Marsh,8.88394370458058,Bowler
144,K Goel,8.22489552238806,Bowler
145,AA Jhunjhunwala,8.221863147605085,Bowler
146,TM Head,9.077932303164092,Batsman
147,PD Collingwood,13.022656357224976,AllRounder
148,SK Warne,9.191784008416931,Bowler
149,SP Fleming,8.839376218323586,Batsman
150,AS Raut,8.176,Bowler
151,Salman Butt,9.7453303802141,Batsman
152,BJ Rohrer,9.519501522070016,Batsman
153,YV Takawale,8.661129326047359,Batsman
154,MJ Guptill,8.941126651126652,Batsman
155,Bipul Sharma,8.634855367183867,Bowler
156,FY Fazal,8.315653744145365,Batsman
157,AC Voges,9.574947274947274,Batsman
158,AB Agarkar,8.711126117417855,Bowler
159,SN Khan,9.164999509659705,Batsman
160,MF Maharoof,9.073032258064515,Bowler
161,DH Yagnik,7.827616680475007,Batsman
162,CM Gautam,7.95351076490317,Batsman
163,MN van Wyk,10.438271604938272,Batsman
164,DW Steyn,9.49872360926421,Bowler
165,PA Reddy,8.217777777777778,Batsman
166,MP Stoinis,8.902205882352941,Batsman
167,MN Samuels,8.60292986553879,Bowler
168,RE van der Merwe,8.924119106699752,Bowler
169,R McLaren,8.535569892473118,Bowler
170,B Kumar,9.693334715373098,Bowler
171,R Dhawan,8.715846066779854,Bowler
172,MG Johnson,9.239762704374725,Bowler
173,SM Pollock,11.647009179335063,AllRounder
174,S Vidyut,8.8381038647343,Batsman
175,N Saini,7.986666666666666,Batsman
176,Sachin Baby,8.624283870967743,Bowler
177,S Anirudha,7.8319559228650135,Batsman
178,SB Styris,8.653709439644924,Bowler
179,W Jaffer,8.23533591731266,Batsman
180,Kamran Akmal,9.669515669515668,Batsman
181,D Wiese,11.463034358437415,AllRounder
182,UT Khawaja,9.047883597883597,Batsman
183,P Dogra,7.591666666666667,Batsman
184,M Morkel,9.334495129962598,Bowler
185,C de Grandhomme,8.468745519713261,Bowler
