,Player,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,bowling_utility,player_type
21,DR Smith,7.413352272727274,2.613976705490849,0.1647727272727273,0.5946969696969697,0.2954545454545455,0.503225806451613,2.9637522441651702,10.786798675187818,-370.356351105893,Batsman
22,KA Pollard,5.131696428571429,3.031063321385902,0.1607142857142857,0.13690476190476195,0.5,1.0838709677419356,3.067382445141065,8.46037879757638,-369.0231198806755,AllRounder
23,SR Tendulkar,8.471153846153847,1.7093933463796476,0.0,0.9316239316239314,0.0,0.0,2.8208108108108108,11.112171124157426,-370.76878378378376,Batsman
24,PA Patel,4.756465517241378,1.6359223300970882,0.0,0.5201149425287358,0.0,0.0,0.0,6.912502789867202,-374.0,Batsman
25,MK Pandey,6.0249999999999995,1.8469226722777492,0.0,0.3578947368421053,0.0,0.0,0.0,8.229817409119853,-373.0,Batsman
26,R Dravid,7.192073170731708,1.6673618352450474,0.0,0.7601626016260162,0.0,0.0,0.0,9.61959760760277,-372.0,Batsman
27,AC Gilchrist,6.948437500000001,2.652733118971061,0.07499999999999996,0.6625,0.0125,0.01935483870967742,0.0,10.33867061897106,-370.9522177419355,Batsman
28,JP Duminy,7.488013698630136,2.0985312117503065,0.03424657534246578,0.22831050228310504,0.3150684931506849,0.44516129032258067,3.333865300146413,9.849101988006014,-364.85885737457045,AllRounder
29,MEK Hussey,10.032327586206893,1.998179611650486,0.0,0.8045977011494255,0.0,0.0,0.0,12.835104899006804,-370.0,Batsman
30,DPMD Jayawardene,5.942307692307693,1.939553219448095,0.0,0.5213675213675214,0.0,0.0,0.0,8.40322843312331,-369.0,Batsman
31,RA Jadeja,3.2638888888888893,1.939643347050754,0.0,0.05246913580246915,0.7321428571428571,1.5870967741935484,3.198807339449541,5.256001371742112,-360.72292954382107,Bowler
32,SPD Smith,7.610887096774195,2.4253563390847717,0.0,0.47849462365591383,0.0,0.0,1.68,10.514738059514881,-365.48,Batsman
33,KC Sangakkara,6.553308823529412,1.9234550561797754,0.0,0.622549019607843,0.0,0.0,0.0,9.099312899317031,-367.0,Batsman
34,MK Tiwary,5.072784810126583,1.7063711911357344,0.0,0.3080168776371308,0.012658227848101266,0.01935483870967742,2.4094736842105258,7.087172878899448,-362.33776987384755,Batsman
35,AJ Finch,6.6484375,2.31496062992126,0.0,0.5520833333333334,0.015625,0.01935483870967742,2.911363636363636,9.515481463254593,-360.58048478739,Batsman
36,DA Miller,6.408203125,2.8854625550660797,0.109375,0.20833333333333334,0.0,0.0,0.0,9.611374013399415,-364.0,Batsman
37,WP Saha,4.7355769230769225,2.3863822805578345,0.0,0.22222222222222224,0.0,0.0,0.0,7.34418142585698,-363.0,Batsman
38,NV Ojha,3.5120967741935485,1.7264011799410028,0.0,0.10035842293906816,0.0,0.0,0.0,5.33885637707362,-362.0,Batsman
39,S Badrinath,5.56346153846154,1.7871485943775098,0.0,0.4564102564102564,0.0,0.0,0.0,7.807020389249306,-361.0,Batsman
